id,name,city,state,categories,mission_goals,description,registration_id,accepts_items,accepts_volunteer_skills,website
1,Sankriti Trust,Thiruvananthapuram,Kerala,animal welfare,Committed to delivering scalable animal welfare interventions through partnerships with local stakeholders.,"Sankriti Trust works across Thiruvananthapuram, offering programs in animal welfare. They focus on long-term impact and community engagement.",REG5482751,"clothes, kitchenware",mentoring,https://www.sankrititrust.org
2,Samarpan Foundation,Kolkata,West Bengal,"agriculture, arts & culture","We provide support and resources for agriculture, aiming to build local resilience and skills.",Samarpan Foundation runs multiple initiatives in Kolkata related to agriculture and works closely with local beneficiaries.,REG7233212,"stationery, blankets",,
3,Samarpan Charitable Trust,Lucknow,Uttar Pradesh,health,"Focused on inclusive health programs, especially targeting women, children and marginalized groups.",Samarpan Charitable Trust runs multiple initiatives in Lucknow related to health and works closely with local beneficiaries.,REG1966103,"food, stationery","data analysis, medical",
4,Samarpan Mission,Pune,Maharashtra,rural development,"Focused on inclusive rural development programs, especially targeting women, children and marginalized groups.",A grassroots organization dedicated to rural development with experience in project implementation and volunteer coordination.,REG4970734,"computers, medical supplies, stationery",construction,https://www.samarpanmission.org
5,Jeevan Centre,Visakhapatnam,Andhra Pradesh,human rights,"We provide support and resources for human rights, aiming to build local resilience and skills.",Jeevan Centre runs multiple initiatives in Visakhapatnam related to human rights and works closely with local beneficiaries.,REG4830605,food,"agriculture expertise, event management, medical",
6,Samarpan Foundation,Kolkata,West Bengal,agriculture,"We provide support and resources for agriculture, aiming to build local resilience and skills.","Samarpan Foundation works across Kolkata, offering programs in agriculture. They focus on long-term impact and community engagement.",REG4167936,,"counselling, software development, legal aid",https://www.samarpanfoundation.org
7,Prerna Seva Kendra,Jaipur,Rajasthan,elderly care,"Working towards sustainable elderly care solutions, focusing on community-driven projects and capacity building.",A grassroots organization dedicated to elderly care with experience in project implementation and volunteer coordination.,REG3941157,"hygiene kits, kitchenware",agriculture expertise,https://www.prernasevakendra.org
8,Jagruti Centre,Indore,Madhya Pradesh,"elderly care, housing","Focused on inclusive elderly care programs, especially targeting women, children and marginalized groups.",Jagruti Centre runs multiple initiatives in Indore related to elderly care and works closely with local beneficiaries.,REG9000678,"books, toys","software development, marketing, logistics",
9,Jagruti Trust,Kochi,Kerala,"education, skill development","Working towards sustainable education solutions, focusing on community-driven projects and capacity building.","Jagruti Trust works across Kochi, offering programs in education. They focus on long-term impact and community engagement.",REG8358499,computers,"logistics, event management",
10,Jagruti Centre,Mumbai,Maharashtra,"child welfare, human rights","We provide support and resources for child welfare, aiming to build local resilience and skills.",A grassroots organization dedicated to child welfare with experience in project implementation and volunteer coordination.,REG82693610,"computers, medical supplies",,
11,Asha Foundation,Pune,Maharashtra,"elderly care, animal welfare","Focused on inclusive elderly care programs, especially targeting women, children and marginalized groups.",A grassroots organization dedicated to elderly care with experience in project implementation and volunteer coordination.,REG37619011,"medical supplies, kitchenware, clothes",,https://www.ashafoundation.org
12,Seva Charitable Trust,Delhi,Delhi,research,Committed to delivering scalable research interventions through partnerships with local stakeholders.,A grassroots organization dedicated to research with experience in project implementation and volunteer coordination.,REG28783212,"hygiene kits, kitchenware, clothes",,https://www.sevacharitabletrust.org
13,Navjeevan Mission,Nagpur,Maharashtra,child welfare,"We provide support and resources for child welfare, aiming to build local resilience and skills.",Navjeevan Mission runs multiple initiatives in Nagpur related to child welfare and works closely with local beneficiaries.,REG66766913,computers,,
14,Shram Trust,Thiruvananthapuram,Kerala,education,Committed to delivering scalable education interventions through partnerships with local stakeholders.,Shram Trust runs multiple initiatives in Thiruvananthapuram related to education and works closely with local beneficiaries.,REG90840514,clothes,"software development, logistics, medical",
15,Nirmaan Foundation,Bengaluru,Karnataka,child welfare,"We provide support and resources for child welfare, aiming to build local resilience and skills.",Nirmaan Foundation runs multiple initiatives in Bengaluru related to child welfare and works closely with local beneficiaries.,REG92815215,blankets,"teaching, marketing, project management",
16,Jeevan Trust,Pune,Maharashtra,"disaster relief, livelihood","Working towards sustainable disaster relief solutions, focusing on community-driven projects and capacity building.","Jeevan Trust works across Pune, offering programs in disaster relief. They focus on long-term impact and community engagement.",REG60111716,"toys, medical supplies",construction,
17,Nayi Soch Foundation,Kochi,Kerala,"animal welfare, agriculture","Working towards sustainable animal welfare solutions, focusing on community-driven projects and capacity building.",Nayi Soch Foundation runs multiple initiatives in Kochi related to animal welfare and works closely with local beneficiaries.,REG34468217,,"legal aid, logistics",
18,Sankriti Charitable Trust,Lucknow,Uttar Pradesh,"disability support, environment","Working towards sustainable disability support solutions, focusing on community-driven projects and capacity building.","Sankriti Charitable Trust works across Lucknow, offering programs in disability support. They focus on long-term impact and community engagement.",REG29717018,,data analysis,
19,Udaan Mission,Ahmedabad,Gujarat,"education, rural development",Committed to delivering scalable education interventions through partnerships with local stakeholders.,A grassroots organization dedicated to education with experience in project implementation and volunteer coordination.,REG44291519,,,https://www.udaanmission.org
20,Nayi Soch Association,Bhopal,Madhya Pradesh,"livelihood, disability support","Focused on inclusive livelihood programs, especially targeting women, children and marginalized groups.","Nayi Soch Association works across Bhopal, offering programs in livelihood. They focus on long-term impact and community engagement.",REG26227220,"kitchenware, clothes, hygiene kits","construction, agriculture expertise, mentoring",
21,Nayi Disha Trust,Pune,Maharashtra,education,Committed to delivering scalable education interventions through partnerships with local stakeholders.,A grassroots organization dedicated to education with experience in project implementation and volunteer coordination.,REG17236321,"kitchenware, stationery, medical supplies",teaching,
22,Sankalp Centre,Bhopal,Madhya Pradesh,water & sanitation,To improve access to water & sanitation services for underserved communities in Bhopal and surrounding areas.,"Sankalp Centre works across Bhopal, offering programs in water & sanitation. They focus on long-term impact and community engagement.",REG68136622,"clothes, food",,
23,Sankriti Mission,Bengaluru,Karnataka,agriculture,To improve access to agriculture services for underserved communities in Bengaluru and surrounding areas.,A grassroots organization dedicated to agriculture with experience in project implementation and volunteer coordination.,REG81674523,toys,teaching,https://www.sankritimission.org
24,Navjeevan Federation,Chennai,Tamil Nadu,"research, microfinance","Working towards sustainable research solutions, focusing on community-driven projects and capacity building.",Navjeevan Federation runs multiple initiatives in Chennai related to research and works closely with local beneficiaries.,REG92814924,medical supplies,"teaching, data analysis",https://www.navjeevanfederation.org
25,Navjeevan Federation,Lucknow,Uttar Pradesh,agriculture,"Focused on inclusive agriculture programs, especially targeting women, children and marginalized groups.","Navjeevan Federation works across Lucknow, offering programs in agriculture. They focus on long-term impact and community engagement.",REG77231825,"blankets, books, hygiene kits","teaching, legal aid, counselling",
26,Nirmaan Charitable Trust,Indore,Madhya Pradesh,livelihood,"We provide support and resources for livelihood, aiming to build local resilience and skills.",A grassroots organization dedicated to livelihood with experience in project implementation and volunteer coordination.,REG65932126,,counselling,
27,Seva Centre,Nagpur,Maharashtra,child welfare,"Working towards sustainable child welfare solutions, focusing on community-driven projects and capacity building.",A grassroots organization dedicated to child welfare with experience in project implementation and volunteer coordination.,REG48247327,medical supplies,"fundraising, mentoring",https://www.sevacentre.org
28,Nirmaan Seva Kendra,Thiruvananthapuram,Kerala,"environment, arts & culture","Working towards sustainable environment solutions, focusing on community-driven projects and capacity building.","Nirmaan Seva Kendra works across Thiruvananthapuram, offering programs in environment. They focus on long-term impact and community engagement.",REG15058128,,"mentoring, fundraising, construction",https://www.nirmaansevakendra.org
29,Nayi Soch Trust,Visakhapatnam,Andhra Pradesh,"housing, child welfare",Committed to delivering scalable housing interventions through partnerships with local stakeholders.,A grassroots organization dedicated to housing with experience in project implementation and volunteer coordination.,REG27240229,"medical supplies, blankets, kitchenware","data analysis, medical, software development",
30,Nirmaan Association,Mumbai,Maharashtra,research,"We provide support and resources for research, aiming to build local resilience and skills.",Nirmaan Association runs multiple initiatives in Mumbai related to research and works closely with local beneficiaries.,REG36649530,"kitchenware, books, hygiene kits","teaching, fundraising, agriculture expertise",https://www.nirmaanassociation.org
