name,city,categories,website,description,accepts_items,accepts_volunteer_skills,pickup_available
Goonj,New Delhi,"Disaster Relief, Community Development, Clothing Dignity",https://goonj.org/,Uses underutilised urban material for rural development and disaster relief across India.,,,
The Akshaya Patra Foundation,Bengaluru,"Hunger Relief, Education (Mid-Day Meals)",https://www.akshayapatra.org/,Implements PM POSHAN mid-day meals to eliminate classroom hunger.,,,
Pratham Education Foundation,Mumbai,"Education, Youth",https://www.pratham.org/,Improves learning outcomes for children and youth at scale.,,,
CRY – Child Rights and You,Mumbai,"Child Protection, Education, Health",https://www.cry.org/,"Ensures children’s rights through programs in education, health and protection.",,,
Smile Foundation,New Delhi,"Education, Health, Livelihoods, Women Empowerment",https://www.smilefoundationindia.org/,Projects across India impacting children and families.,,,
HelpAge India,New Delhi,"Elderly Care, Health",https://www.helpageindia.org/,Works for the cause and care of disadvantaged elderly across India.,,,
Teach For India,Mumbai (Pan-India),"Education, Youth",https://www.teachforindia.org/,Fellowship placing graduates as teachers in under-resourced schools.,,,
Magic Bus India Foundation,Mumbai / Navi Mumbai,"Youth, Livelihoods, Education",https://www.magicbus.org/,Life skills and employability for youth.,,,
Bhumi,Chennai,"Education, Youth, Volunteering",https://bhumi.ngo/,Large youth volunteer network supporting education and community initiatives.,,,
Robin Hood Army,Pan-India,"Hunger Relief, Volunteerism",https://robinhoodarmy.com/,Zero-funds volunteer organization redistributing surplus food.,,,
SOS Children’s Villages India,New Delhi,"Child Protection, Family Strengthening",https://www.soschildrensvillages.in/,Family-like care and family strengthening.,,,
Bal Raksha Bharat (Save the Children India),New Delhi,"Child Protection, Education, Health, Disaster Response",https://balrakshabharat.org/,"Education, health and protection for children.",,,
Oxfam India,New Delhi,"Inequality, Women Empowerment, Disaster Relief",https://www.oxfamindia.org/,"Fights inequality; works on education, gender justice, disaster response.",,,
WWF-India,New Delhi,"Environment, Wildlife Conservation",https://www.wwfindia.org/,"Conservation of wildlife, habitats, rivers and climate.",,,
Wildlife SOS,New Delhi,"Animal Welfare, Wildlife Rescue",https://wildlifesos.org/,Wildlife rescue & rehabilitation; campaigns for elephants and bears.,,,
Blue Cross of India,Chennai,Animal Welfare,https://bluecrossofindia.org/,Oldest animal welfare organizations with hospitals and shelters.,,,
Akanksha Foundation,Mumbai,Education (PPP Schools),https://akanksha.org/,Runs and supports high-quality schools for underserved communities.,,,
Feeding India (by Zomato),New Delhi,Hunger Relief,https://www.feedingindia.org/,Interventions to reduce hunger via daily meals and campaigns.,,,
CHILDLINE India Foundation (1098),Mumbai,Child Protection (Helpline),https://childlineindia.org/,Manages the 1098 emergency helpline for children.,,,
Barefoot College,Tilonia (Rajasthan),"Women Empowerment, Education, Renewable Energy",https://www.barefootcollege.org/,"Community-based solutions in education, solar, water, and livelihoods.",,,
